Study,Publication years,Reference NO.,Experiment name,Treatment,Nitrogen,Tdelta,Note (temperature type),Lat,Long,biome type,MAP,MAT,Soil type,Additional soil info,N-class,SCN,Extracted,Source ,Ecosystems,Warming method,Vegetation type,Total-Biomass.control,Csd,Total-Biomass.warmed,Tsd,n,RR,Variance (v),,Aoveground -Biomass.control,Csd,Aboveground-Biomass.warmed,Tsd,n,RR,Variance (v),,Belowground-Biomass.control,Csd,Belowground-Biomass.warmed,Tsd,n,RR,Variance (v),Note,Duration,,Source,Data source ,Species-1,Species-2,Species-3,Mycorrhizal Type
Chuanzhang Zhao,2009,42,Maoxian  Station,+N,y,2.11,air temperature,31.58,102.5833333,Temperate,850,8,,,H,15.5,,Author contact (Dr. Zheng Jiang),Forest,infrared heater,Woody,13.99641062,0.401292175,17.06173726,0.302225413,3,0.198037456,0.000378601,,,,,,,,,,3.978164899,0.15094293,5.515761523,0.20882305,3,0.326789093,0.000957663,P.tabulaeformis,0.5,,Chunzhang Zhao. 2019. Ph.d thesis. Chinese Academy of Science,Figure 5-1,Betula albo-sinensis,Abies faxoniana,,ECM
Hoeppener ,2012,43,BACE,,n,1,air temperature,42.38,-71.87,Temperate,1194,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 9% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00146, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,407.3,87.62445035,377.3,31.35011962,3,-0.076509388,0.017729032,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,,n,2.7,air temperature,42.38,-71.87,Temperate,1194,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 10% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00147, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,407.3,87.62445035,541.1,42.95486003,3,0.28405409,0.017528301,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,,n,4,air temperature,42.38,-71.87,Temperate,1194,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 11% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00148, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,407.3,87.62445035,504.6,61.14139351,3,0.214216022,0.020321575,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+drought,n,1,air temperature,42.38,-71.87,Temperate,597,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 12% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00149, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,438.2,137.6980392,370.8,240.9282673,3,-0.167012593,0.173640821,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+drought,n,2.7,air temperature,42.38,-71.87,Temperate,597,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 13% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00150, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,438.2,137.6980392,336.5,163.5055962,3,-0.264077278,0.111614511,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+drought,n,4,air temperature,42.38,-71.87,Temperate,597,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 14% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00151, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,438.2,137.6980392,385.9,116.5670193,3,-0.127097159,0.063329163,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+H2O,n,1,air temperature,42.38,-71.87,Temperate,1791,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 15% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00152, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,482.6,213.9082747,422.7,82.27241336,3,-0.132525446,0.078115286,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+H2O,n,2.7,air temperature,42.38,-71.87,Temperate,1791,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 16% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00153, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,482.6,213.9082747,425.7,122.4559921,3,-0.12545328,0.093069998,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Hoeppener ,2012,43,BACE,+H2O,n,4,air temperature,42.38,-71.87,Temperate,1791,9.5,a mesic Typic Dystrudept,"45% sand, 46% silt, 17% Clay",H,12.13 ,,"Steinweg et al., 2013, Frontiers in Microbiology,doi: 10.3389/fmicb.2013.00154, Results second paragraph",Grassland,infrared heater,Herb,,,,,,,,,482.6,213.9082747,439.9,119.8579159,3,-0.092640725,0.090233589,,,,,,,,,data taken from 2010,3,,"Hoeppener et al., 2012, Global Change Biology,1754–1768",Table S.2,Dactylis glomerata,Setaria glauca,Elymus repens,AM
Kostiainen ,2009,44,Flakaliden,,n,4.2,air temperature,64.07,19.17,Boreal,600,2.3,"podzolic, glacial, loamy",,L,37,,"Hyvonen et al. 2008, Biogeochemistry, 89:121–137",Forest,infrared heater,Woody,,,,,,,,,14.25,2.79,20.03,10.21,3,0.340474243,0.099387898,,,,,,,,,,3,,"KOSTIAINEN et al., 2009. Global Chang Biology.15, 368-379",Table 1,Picea abies (L.) Karst,Norway spruce,,AM
Lambrecht,2007,45,RMBL,,n,1,soil temperature,38.95833333,-106.9883333,Temperate,750,5,,,H,11,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,0.37,0.003,0.33,3.9,15,-0.114410351,9.311299149,,,,,,,,,,,,,,,,,Delphinium nuttallianum,3,,"Lambrecht et al., 2007, New Phytologist ,173: 121–134",Table 4,Erythronium grandiflorumPürsh.,,,AM
Lambrecht,2007,45,RMBL,,n,1,soil temperature,38.95833333,-106.9883333,Temperate,750,5,,,H,11,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,0.5,0.002,0.43,0.005,15,-0.15082289,0.0000101,,,,,,,,,,,,,,,,,Erigeron speciosus,3,,"Lambrecht et al., 2007, New Phytologist ,173: 121–134",Table 4,Erythronium grandiflorumPürsh.,,,AM
Lambrecht,2007,45,RMBL,,n,1,soil temperature,38.95833333,-106.9883333,Temperate,750,5,,,H,11,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,0.13,0.001,0.13,0.001,15,0,0.00000789,,,,,,,,,,,,,,,,,Erythronium grandiflorum,3,,"Lambrecht et al., 2007, New Phytologist ,173: 121–134",Table 4,Erythronium grandiflorumPürsh.,,,AM
Lambrecht,2007,45,RMBL,,n,1,soil temperature,38.95833333,-106.9883333,Temperate,750,5,,,H,11,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,4.04,0.5,2.67,0.33,15,-0.41416622,0.002039532,,,,,,,,,,,,,,,,,Helianthella quinquenervis,3,,"Lambrecht et al., 2007, New Phytologist ,173: 121–134",Table 4,Erythronium grandiflorumPürsh.,,,AM
Alster,2020,46,Delta Junction,,n,1.6,air temperature,63.91666667,-144.75,Boreal,229.2166667,-3.9,,,,27.46,,"Alster et al.,2020. Biogeochemistry. doi: 10.1007/s10533-020-00697-0",Forest,Greenhouse,Woody,981.0666667,339.6888889,860.3333333,290.1555556,5,-0.131320504,0.061891692,,74.73333333,44.44444444,215.6666667,72.82222222,5,1.059807784,0.116922873,,906.3333333,295.2444444,644.6666667,217.3333333,4,-0.340673769,0.054942747,,13,,"Alster et al.,2020. Biogeochemistry. doi: 10.1007/s10533-020-00697-0",Table 1,Picea mariana,,,ECM
Malhotra,2020,47,SPRUCE,,n,2.25,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,24,13,26,11,5,0.080042708,0.094479372,Picea mariana,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,Picea mariana,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,4.5,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,24,13,53,40,5,0.792238083,0.1726001,Picea mariana,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,Picea mariana,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,6.75,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,24,13,64,18,5,0.980829253,0.074500868,Picea mariana,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,Picea mariana,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,9,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,24,13,108,43,5,1.504077397,0.090384945,Picea mariana,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,Picea mariana,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,2.25,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Herb,,,,,,,,,,,,,,,,,3.086269582,4.130079771,8.236772602,4.129004509,5,0.981645486,0.40841987,graminoid,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,4.5,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Herb,,,,,,,,,,,,,,,,,3.086269582,4.130079771,6.162592993,3.096753382,5,0.691534523,0.408664607,graminoid,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,6.75,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Herb,,,,,,,,,,,,,,,,,3.086269582,4.130079771,0.989509479,3.096753382,5,-1.137509041,2.317021357,graminoid,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,9,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Herb,,,,,,,,,,,,,,,,,3.086269582,4.130079771,0.980907386,2.062351732,5,-1.146240338,1.242257778,graminoid,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,2.25,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,21.60334944,14.45151578,47.40102553,35.09653833,5,0.785795495,0.199141815,Larix laricina,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,4.5,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,21.60334944,14.45151578,90.74482026,42.32337148,5,1.435203025,0.133004031,Larix laricina,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,6.75,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,21.60334944,14.45151578,141.3122224,47.48677764,5,1.878123416,0.112083049,Larix laricina,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,9,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,21.60334944,14.45151578,122.7209495,58.83938952,5,1.737064705,0.135474023,Larix laricina,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,2.25,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,28.76674216,15.48269165,39.07850082,14.45151578,5,0.306352531,0.085286565,shrub,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,4.5,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,28.76674216,15.48269165,44.22792858,19.61492194,5,0.430136524,0.097272864,shrub,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,6.75,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,28.76674216,15.48269165,31.83016243,20.64609781,5,0.101194411,0.14208006,shrub,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Malhotra,2020,47,SPRUCE,,n,9,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,,,,,,,,,28.76674216,15.48269165,78.27286107,14.45151578,5,1.000981007,0.064752719,shrub,4,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Fig.  S1,,L. laricina (Du Roi) K. Koch,,ECM
Xumanhou,2016,48,Tibat,,n,3,air temperature,34.82694444,92.935,Temperate,267,-5.9,,,,12,,"Xue et al., 2015, Ecology and Evolution, 4063-4078, Figure 5",Grassland,infrared heater,Herb,,,,,,,,,,,,,,,,,3672.88,367.2,3778.4,377.84,3,0.028324544,0.00666507,Table 1,4,,"Xu et al., 2016,  Acta Ecologica Sinica ,6812,6822",Table 1,Stipa capillata L.,,,AM
Karodol,2010,49,OCCAM,,n,3,air temperature,35.9,-84.34,Temperate,1322,14.2,Captina silt loam,,,11.4,,"Garten Jr et al., 2009. Plant and Soil, 85-94, Table 1",Grassland,OTC,Herb,,,,,,,,,559.563,98.43244739,528.962,83.28912718,3,-0.056239526,0.018579024,,,,,,,,,,4,,"Karodol et al., 2010, Global Change Biology,16, 2676–2687",Figure 1,Plantago lanceolata,Andropogon virginicus,Festuca pratense,AM
Bin Wang,2019,50,Jingzhou Agro-meteorological Experimental Station,,y,2,air temperature,30.35,112.15,Temperate,1200,16,,,,7.6,,"Wang et al.2019,Agricultural and Forest Meteorology 278 (2019) 107662",Cropland,OTC,Herb,,,,,,,,,1068.81391,20.70413969,1145.150656,34.53058301,3,0.068986667,0.000428163,,,,,,,,,Early rice (Data taken  from 2016),4,,"Wang et al.2019,Agricultural and Forest Meteorology 278 (2019) 107662",Figure 3,rice,,,AM
Bin Wang,2019,50,Jingzhou Agro-meteorological Experimental Station,,y,2,air temperature,30.35,112.15,Temperate,1201,17,,,,7.6,,"Wang et al.2019,Agricultural and Forest Meteorology 278 (2019) 107662",Cropland,OTC,Herb,,,,,,,,,1748.226437,27.42479759,1967.012284,41.09543273,3,0.117913975,0.000227526,,,,,,,,,Late rice (Data taken  from 2016),4,,"Wang et al.2019,Agricultural and Forest Meteorology 278 (2019) 107662",Figure 3,rice,,,AM
Mueller,2016,51,PHACE,,n,2.25,air temperature,41.18333333,-104.9,Temperate,384,17.5,,,L,10.44,,"Dijkstra et al.,2012, New Phytologist,196, 807–815",Grassland,passive warming,Herb,,,,,,,,,67.6017526,5.195789358,84.3175618,10.42464659,5,0.22095626,0.004238604,,,,,,,,,,7,,"Mueller et al., 2016, Ecology Letters, (2016) 19: 956–966",Figure 2,Pascopyrum smthii,Hesperostipa comata,Bouteloua gracilis,AM
Mueller,2016,51,PHACE,,n,2.25,air temperature,41.18333333,-104.9,Temperate,384,17.5,,,L,10.44,,"Dijkstra et al.,2012, New Phytologist,196, 807–815",Grassland,passive warming,Herb,441.3793103,28.44827586,420.6896552,33.62068966,5,-0.048009219,0.002108219,,,,,,,,,,357.2519084,29.77099237,327.480916,25.19083969,5,-0.087011377,0.002572321,,6,,"Mueller et al., 2016, Ecology Letters, (2016) 19: 956–966",Figure 2,Pascopyrum smthii,Hesperostipa comata,Bouteloua gracilis,AM
Sigurdsson,2013,52,Sweden,,n,3.9,air temperature,64.11666667,19.45,Boreal,645,2.5,,,,35,,"Sigurdsson et al., 2013, Tree Physiology 33, 1192–1205",Forest,passive warming,Woody,,,,,,,,,14.3,1.2,15.5,3.5,3,0.080580487,0.019343488,,,,,,,,,,3,,"Sigurdsson et al., 2013, Tree Physiology 33, 1192–1205",Table 3,Picea abies (L.) Karst.,,,ECM
Majdi,2004,53,Flakaliden,,n,5,soil temperature,64.11666667,19.45,Boreal,645,2.5,,,,39,,"Sigurdsson et al., 2013, Tree Physiology 33, 1192–1205",Forest,passive warming,Woody,,,,,,,,,,,,,,,,,178,30.83050437,196,33.94819583,3,0.096331109,0.02,,2.8,,"Majdi et al., 2014, Global Change Biology,10, 182–188",Table 2,Picea abies (L.) Karst.,,,ECM
Majdi,2004,53,Flakaliden,+fertilization,y,5,soil temperature,64.11666667,19.45,Boreal,645,2.5,,,,32,,"Sigurdsson et al., 2013, Tree Physiology 33, 1192–1205",Forest,passive warming,Woody,,,,,,,,,,,,,,,,,157,27.19319768,223,38.62473301,3,0.350925966,0.02,,2.8,,"Majdi et al., 2014, Global Change Biology,10, 182–188",Table 2,Picea abies (L.) Karst.,,,ECM
Drebenstedt,2020,54,HoCC,,y,2.5,soil temperature,48.72,9.19,Temperate,729,8.9,arable soil,silty loam-texture (12.1 g/kg SOC),H,9.3,,"Bamminger et al., 2016, Agriculture , Ecosystmes and Enironment, 308-317, Table 1",Cropland,Cable,Herb,,,,,,,,,2.34,0.38,3.47,0.75,3,,,,,,,,,,,,8,,"Drebenstedt et al.2020. Journal of Applied Botany and Food Quality 93, 44-53",Table 3,Wheat,Triticum aestivum,,AM
Drebenstedt,2020,54,HoCC,+drought,y,2.5,soil temperature,48.72,9.19,Temperate,546.75,8.9,arable soil,silty loam-texture (12.1 g/kg SOC),H,9.3,,"Bamminger et al., 2016, Agriculture , Ecosystmes and Enironment, 308-317, Table 1",Cropland,Cable,Herb,,,,,,,,,2.71,0.45,4.09,0.79,3,,,,,,,,,,,,8,,"Drebenstedt et al.2020. Journal of Applied Botany and Food Quality 93, 44-53",Table 3,Wheat,Triticum aestivum,,AM
Day-2,2009,55,Palmer Station,,n,2.2,air temperature,-64.76666667,-64.05,Tundra,750,-1.7,,,,20,,,Grassland,infrared heater,Herb,,,,,,,,,222.707103,26.54083331,305.3737479,59.17974485,10,0.315678961,0.005175867,,,,,,,,,,0.8,,"Day et al., 2009, Global Change Biology,15, 1640–1651",Figure 3,D. antarctica,Sanionia uncinata (Hedw.) Loeske.,,AM
Day-2,2009,55,Palmer Station,+water,n,2.2,air temperature,-64.76666667,-64.05,Tundra,937.5,-1.7,,,,20,,,Grassland,infrared heater,Herb,,,,,,,,,335.462821,61.21570035,544.6621423,102.0375869,10,0.484654547,0.006839611,,,,,,,,,,0.8,,"Day et al., 2009, Global Change Biology,15, 1640–1651",Figure 3,D. antarctica,Sanionia uncinata (Hedw.) Loeske.,,AM
Qing Liu,2011,56,Maoxian Ecological Station,+fertilized,y,2.1,air temperature,31.7,103.9,Temperate,920,8.9,mountain brown soil series (Chinese taxonomy),,H,17.12 ,,"Liu et al., 2011, Ecol Res , 26: 637–648",Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,7.317073171,0.50215208,6.614060258,0.473457676,3,-0.101012683,0.003277976,,1,,"Liu et al., 2011, Ecol Res , 26: 637–648",Figure 2,P. asperata,A. faxoniana,,ECM
De Boeck-2,2011,57,Drie Eiken Campus of the University of Antwerp,,n,0.6,air temperature,51.15,4.4,Temperate,776,9.6,sandy,"89.2% sand, 8.7% silt, 2.1% clay",H,12.82,,"Zavalloni et al.2012, Plant Soil, 359, 121-136",Grassland,passive warming,Herb,,,,,,,,,1725.1,104.0962535,1889.8,192.7772549,3,0.091185984,0.004682361,,,,,,,,,,0.8,,"De Boeck et al.,New Phytologist (2011) 189: 806–817",Table 1,Dactylis glomerata L.,,,AM
De Boeck-2,2011,57,Drie Eiken Campus of the University of Antwerp,drought,n,0.6,air temperature,51.15,4.4,Temperate,582,9.6,sandy,"89.2% sand, 8.7% silt, 2.1% clay",H,12.82,,"Zavalloni et al.2012, Plant Soil, 359, 121-136",Grassland,passive warming,Herb,,,,,,,,,1797.4,144.2798323,1440.1,199.8786632,3,-0.221628621,0.008569183,,,,,,,,,,0.8,,"De Boeck et al.,New Phytologist (2011) 189: 806–817",Table 1 ,Dactylis glomerata L.,,,AM
Lepp?lammi-Kujansuu,2013,58,Flakaliden,irrigation,n,5,soil temperature,64.11666667,19.45,Boreal,750,1.2,,,,33,,"Lepp?lammi-Kujansuu et al., 2013, Plant Soil , 366:287–303",Forest,Cable,Woody,,,,,,,,,,,,,,,,,502,20,781,191,2,0.44197503,0.030698009,,14,,"Lepp?lammi-Kujansuu et al., 2013, Plant Soil , 366:287–303",Table 4,Deschampsia flexuosa,Vaccinium myrtillus,Empetrum spp.,ECM
Lepp?lammi-Kujansuu,2013,58,Flakaliden,N+irrigation,y,5,soil temperature,64.11666667,19.45,Boreal,750,1.2,,,,29,,"Lepp?lammi-Kujansuu et al., 2013, Plant Soil , 366:287–303",Forest,Cable,Woody,,,,,,,,,,,,,,,,,1016,49,1190,116,2,0.158079958,0.005914064,,14,,"Lepp?lammi-Kujansuu et al., 2013, Plant Soil , 366:287–303",Table 4,Deschampsia flexuosa,Vaccinium myrtillus,Empetrum spp.,ECM
Xia Xu,2012,59,OKlahoma,,n,1.27,air temperature,34.98,-97.51666667,Temperate,914,16.3,Nash-Lucien,"32% sand, 60% Silt, 8% Clay",H,17.5,,"Niu et al., 2010, Ecology, 3261-3273, Figure 7",Grassland,infrared heater,Herb,,,,,,,,,277.6953901,3.562071492,383.1362797,32.76277384,3,0.321865954,0.002492284,,,,,,,,,Data taken from 2009,9,,"Xu et al., 2012.Plant Soil (2012) 361:307–315",Figure 2,Phalaris sward,,,AM
Zhiyuan Ma,2017,60, Haibei Station (CAS),,n,2,soil temperature,37.61666667,101.2,Temperate,675,-1.1,,,H,10.22,,Yang xiao xia's phd diseretation,Grassland,infrared heater,Herb,,,,,,,,,392.566046,20.56081083,431.818503,18.69256789,5,0.095300575,0.000923407,,,,,,,,,Data taken from 2015,5,,"Ma et al., 2017,Nat. Commun. 8, 15378",Figure 1,S. aliena,H. tibeticum,,AM
Zhiyuan Ma,2017,60, Haibei Station (CAS),drought,n,2,soil temperature,37.61666667,101.2,Temperate,675,-1.1,,,H,10.22,,Yang xiao xia's phd diseretation,Grassland,infrared heater,Herb,,,,,,,,,364.53042,7.473893448,377.6118073,8.409397437,5,0.035256698,0.000183263,,,,,,,,,Data taken from 2015,5,,"Ma et al., 2017,Nat. Commun. 8, 15378",Figure 1,S. aliena,H. tibeticum,,AM
Zhiyuan Ma,2017,60, Haibei Station (CAS),wet,n,2,soil temperature,37.61666667,101.2,Temperate,675,-1.1,,,H,10.22,,Yang xiao xia's phd diseretation,Grassland,infrared heater,Herb,,,,,,,,,468.2672131,14.95423865,499.1102727,19.62530684,5,0.063787958,0.000513194,,,,,,,,,Data taken from 2015,5,,"Ma et al., 2017,Nat. Commun. 8, 15378",Figure 1,S. aliena,H. tibeticum,,AM
 Dawes,2015,61,Stillberg,,n,3.6,air temperature,46.76666667,9.866666667,Temperate,1155,2.1,,,,25,,"Bednarz et al., 2000. Arctic. Antarctic, and Alpine Research, 32,21-29.",Forest,Cable,Woody,6782.102266,648.6886878,6832.138145,617.6523692,4,0.007350554,0.004330313,,3770.505312,463.3596445,3743.320756,417.0644198,4,-0.007235907,0.006878885,,2691.678433,385.991065,2544.422583,308.9928474,4,-0.056261211,0.008827881,Larix decidua,6,,"Dawes et al., 2015. Global Change Biology 21, 2005–2021",Figure 1,Larix decidua,,,ECM
 Dawes,2015,61,Stillberg,,n,3.6,air temperature,46.76666667,9.866666667,Temperate,1155,2.1,,,,25,,"Bednarz et al., 2000. Arctic. Antarctic, and Alpine Research, 32,21-29.",Forest,Cable,Woody,5145.288304,494.2107822,7249.387746,694.9839124,5,0.342835613,0.003683297,,2566.199856,293.4006157,4067.905836,494.2107822,5,0.460702181,0.005566369,,2244.20731,216.2912896,3101.150436,432.4714706,5,0.323420784,0.005747277,Pinus uncinata,6,,"Dawes et al., 2015. Global Change Biology 21, 2005–2021",Figure 1,Pinus uncinata,,,ECM
Henry,2015,62,"London, Ontario, Canada",,n,3,soil temperature,43.02944444,-81.21444444,Temperate,818,7.5,,,,18.56 ,,"Henry et al., 2015. Ecosystems ,18,103–114",Grassland,infrared heater,Herb,,,,,,,,,573.5371626,57.70837415,659.4336344,48.33762015,20,0.139558603,0.00077486,,,,,,,,,,7,,"Henry et al., 2015. Ecosystems ,18,103–114",Figure 3,Cirsium arvense L.,Lotus corniculatus L.,,AM
